Question,Answer
"ครับ","📚 หลักสูตรปริญญาตรี สาขาบัญชี (Bachelor of Accounting) ✨รูปแบบการเรียน จะเรียนออนไลน์เป็นหลัก 💻 เน้นเรียนจริง เข้าใจง่าย เรียนได้จากทุกที่ 📆 เรียนเฉพาะวันเสาร์–อาทิตย์ ไม่กระทบงานประจำ 💸 ค่าใช้จ่ายรวมตลอดหลักสูตร ค่าสมัคร 1,500 บาท (จ่ายตอนสมัคร) ค่าเทอมรวม 90,000 บาท (กรณีเทียบโอน) 👩‍💼 สำหรับข้าราชการ พนักงานรัฐวิสาหกิจ ตำรวจ ทหาร หรือผู้ที่มีงานประจำ สามารถ ผ่อนชำระรายเดือนได้ ตามเงื่อนไขของมหาวิทยาลัย ⏰ ระยะเวลาเรียน เพียง 2 ปี (4 เทอม) ก็สามารถจบและรับปริญญาได้ทันที 🎓 📜 หลักสูตรได้รับการรับรองจาก สำนักงาน ก.พ. และ ก.ค.ศ. อย่างเป็นทางการแล้ว 🏛️ เมื่อจบแล้วสามารถสอบเป็นผู้สอบบัญชี CPA ได้เลย 📣 เปิดรับสมัครถึงวันที่ 30 พฤศจิกายนนี้! หากมีข้อสงสัยหรือสนใจสมัครสามารถแจ้งอาจารย์ได้เลยนะคะ🌟"
"อายุราชการ20ปี","อาจารย์ส่งตารางการผ่อนชำระให้นะคะ"
"จบเร็วกว่านี้ได้มั้ยครับ","นักศึกษาสมัครเข้าระบบมา ทางอาจารย์ประจำหลักสูตรจะมีการเทียบโอนประสบการณ์ทำงานให้เพิ่มเติมนะคะ"
"มีบันทึกไว้ดูทีหลังมั้ยครับ","ไม่ทราบว่านักศึกษาหมายถึงในส่วนใดคะ"
"ครับ","นักศึกษาหมายถึงในส่วนของการเรียนออนไลน์มีวิโอการสอนให้ดูย้อนหลังไหม ใช่หรือไม่คะ"
"เรียนครับ","อาจารย์ส่งฟอร์มสมัครให้นะคะ"
"พอดีผมติดเรียนเสาร์อาทิตย์ครับ","แบบฟอร์มสมัครเรียนปริญญาตรี มหาวิทยาลัยพิษณุโลก https://forms.gle/Aj55YB5TNsKVsu8V7"
"ค่าเทอมยืดหยุ่นได้มั้ยครับ","หากกรอกฟอร์มสมัครเข้ามาเรียบร้อยแล้ว รบกวนแจ้งชื่อ นามสกุลและแนบสลิปค่าสมัครให้อาจารย์ทางแชทนี้นะคะ หรือหากนักศึกษายังไม่สะดวกแนบเอกสารหรือกรอกฟอร์ม สามารถชำระค่าสมัครเข้ามาก่อนได้และกรอกฟอร์มภายหลัง หรือแนบเอกสารทางแชทนี้ภายหลังได้นะคะ  หลังจากชำระค่าสมัคร อาจารย์จะดำเนินการดึงนักศึกษาเข้ากลุ่มไลน์นะคะ"
"สมัครถึงวันไหนครับ","นักศึกษาสามารถผ่อนชำระค่าเทอมได้เดือนละไม่ต่ำกว่า 5,000 บาทนะคะ"
"ถ้าบางเดือนไม่ถึงมีปัญหามั้ยครับ","นักศึกษาสามารถทยอยผ่อนชำระได้นะคะแต่ต้องชำระเดือนละไม่ต่ำกว่า 5,000 บาทค่ะ"
"ครับ","หากนักศึกษากรอกฟอร์มสมัครเข้ามาเรียบร้อยแล้ว รบกวนแจ้งชื่อ นามสกุลและแนบสลิปค่าสมัครให้อาจารย์ทางแชทนี้นะคะ"
"บล็อกคอร์สใช่มั้ยครับ","จะเป็นการเรียนออนไลน์และสอบออนไลน์เป็นหลักค่ะ"
"สวัสดีครับอาจารย์","สวัสดีค่ะ"
"จะเรียนบัญชีครับ","นักศึกษาสนใจสมัครเรียนใบ้หรือไม่คะ"
"เอกสารใช้อะไรบ้างครับ","สามารถสมัครได้เลยค่ะนักศึกษา"
"เรียนกี่ปีครีบ","นักศึกษาจะใช้เวลาเรียนประมาณ 2 ปีนะคะ"
"ได้ครับ","ไม่ทราบว่านักศึกษาทำการกรอกฟอร์มสมัครเรียบร้อยแล้วหรือไม่คะ"
"ยังครับ","ไม่ทราบว่านักศึกษาสะดวกสมัครช่วงไหนคะ"
"ค่าสมัครเท่าไรครับ","ค่าสมัคร 1,500 บาทค่ะนักศึกษา"
"จ่าย1500 ก็เรียนได้เลยนะครับ","ถูกต้องค่ะนักศึกษา เมื่อนักศึกษาทำการชำระค่าสมัครเข้ามาแล้วจะสามารถรอเรียนได้เลยนะคะ โดยค่าเทอมงวดแรก 7,500 บาท นักศึกษาสามารถชำระได้ หลังจากชำระค่าสมัครเข้ามา 1 เดือนนะคะ"
"สนใจครับ","ไม่ทราบว่านักศึกษาทำการกรอกฟอร์มสมัครเรียบร้อยแล้วหรือไม่คะ หากนักศึกษาติดปัญหาด้านใดสามารถแจ้งอาจารย์ได้เลยนะคะ"
"ต้องใช้คอมครับ","นักศึกษาหมายถึงเอกสารในการกรอกฟอร์มสมัครใช่หรือไม่คะ"
"ใช่ครับ","นักศึกษาสามารถชำระค่าสมัครเข้ามาก่อนได้นะคะ เพื่อให้อาจารย์ทำการนำชื่อเข้าระบบให้ก่อนค่ะและสามารถกรอกฟอร์มสมัคร หรือแนบเอกสารภายหลังในช่องแชทนี้ได้นะคะ"
"รายเดือนประมาณเท่าไรครับ","นักศึกษาสามารถอ้างอิงได้จากตารางการผ่อนชำระที่อาจารย์ส่งให้ได้เลยนะคะ โดยค่าเทอมงวดแรก 7,500 บาทค่ะนักศึกษา"
"เรียนไปบ้างยังครับ","จะเป็นการเรียนออนไลน์ใน วันเสาร์-อาทิตย์ เป็นหลักค่ะนักศึกษา"
"สามารถดูย้อนหลังได้นะครับ","หากช่วงไหนนักศึกษาไม่สะดวกเข้าเรียนจะมีเป็นสื่อสารการให้นักศึกษาในการทำงานประกอบการส่งงานย้อนหลังค่ะ"
"แจ่ม","หากนักศึกษาชำระค่าสมัครเข้ามาเรียบร้อยแล้วรบกวนนักศึกษาเเจ้ง ชื่อ-นามสกุล และแนบสลิปค่าสมัครให้อาจารย์ทางช่องแชทนี้นะคะ"
"ผมสมัครสาขาบัญชีนะครับ","สวัสดีค่ะ"
"ยังไม่ได้โหลดเอกสารครับ","นักศึกษาสามารถชำระค่าสมัครเข้ามาก่อนได้นะคะ เพื่อให้อาจารย์นำรายชื่อเข้าระบบและดึงนักศึกษาเข้ากลุ่นไลน์ค่ะ"
"โอน1500ก่อนนะครับ","รับทราบค่ะนักศึกษา นักศึกษาสามารถชำระค่าสมัครผ่านบัญชีของมหาวิทยาลัยโดยตรงได้เลยนะคะ หลังจากชำระค่าสมัครอาจารย์จะดำเนินการนำรายชื่อของนักศึกษาเข้าระบบและดึงนักศึกษาเข้ากลุ่มไลน์นะคะ"
"กรฤทธิ์ กีรติธนิกกุล","รับทราบค่ะนักศึกษา อาจารย์ดำเนินการให้นะคะ"
"ขอบคุณครับอาจารย์","ยินดีค่ะนักศึกษา"
"เรียบร้อยครับ","รับทราบค่ะนักศึกษา"
"แต่ยังส่งเอกสารไม่ครบครับ","รับทราบค่ะนักศึกษา ในวันพรุ่งนี้อาจารย์ดำเนินการตรวจสอบเอกสารให้นะคะ"
"ขอบคุณครับอาจารย์","ยินดีค่ะนักศึกษา"
"เปิดอ่านไม่ได้ครับ","- รูปถ่ายหน้าตรง - สำเนาบัตรประชาชน - สำเนาทะเบียนบ้าน - ใบประกาศนียบัตร (วุฒิการศึกษา) ค่ะนักศึกษา"
"พรุ่งนี้จัดการให้ครับ","รับทราบค่ะนักศึกษา หากนักศึกษารวบรวมเอกสารครบเรียบร้อยแล้วสามารถส่งมาให้อาจารย์ทางช่องแชทนี้ได้เลยนะคะ"
"ครับอาจารย์","สวัสดีค่ะ"
"วันนี้ส่งให้ครับอาจารย์","รับทราบค่ะนักศึกษา"
"ขอบคุณครับอาจารย์","ยินดีค่ะนักศึกษา"
"ผมต้องเข้าเรียนเดือนไหนครับ","เพิ่มป้ายอัตโนมัติแล้ว: ตั้งระยะข้อมูลของลูกค้าเป็น ""การรับข้อมูล"" แล้ว"
"ดีครับ","สวัสดีค่ะ  อาจารย์ขออนุญาตสอบถามการชำระค่าเทอม งวดที่ 1 จำนวน 7,500 บาทค่ะ ไม่ทราบว่านักศึกษาสะดวกชำค่าเทอมในช่วงใดคะ  นักศึกษาสามารถชำระเงินได้ โดยโอนเข้าบัญชีของมหาวิทยาลัยโดยตรง  ธนาคารกรุงไทย (Krungthai Bank)  ชื่อบัญชี: มหาวิทยาลัยพิษณุโลก  เลขที่บัญชี: 678-9-63851-2 เมื่อชำระเรียบร้อยแล้ว รบกวนนักศึกษาแจ้ง ชื่อ–สกุล พร้อมแนบสลิปการโอน เพื่อยืนยันการชำระเงินกับอาจารย์ด้วยนะคะ  ขอบพระคุณค่ะ"
"สิ้นเดือนครับ","รับทราบค่ะนักศึกษา"
"ขอบคุณครับ","ยินดีค่ะนักศึกษา"
"สวัสดีครับอาจารย์","เพิ่มป้ายอัตโนมัติแล้ว: ตั้งระยะข้อมูลของลูกค้าเป็น ""การรับข้อมูล"" แล้ว"
"มีออนไลน์มั้ยครับ","สวัสดีค่ะ"
"ในเฟสครับเพื่อนส่งมาครับ","เบื้องต้นทางมหาวิทยาลัยจะยังไม่มีหลักสูตรดังกล่าวนะคะนักศึกษา ขออภัยในความไม่สะดวกค่ะ"
"เรียนต่อเนื่องมีเกียรตินิยมมั้ยครับอาจารย์","มีค่ะนักศึกษา"
"เกรดโอนมีปัญหามั่ยครับ","หากนักศึกษามีผลการเรียนที่ดีและมีการเข้าเรียนอย่างสม่ำเสมอมีโอกาสที่จะได้เกียรตินิยมแน่นอนค่ะ"
"พอดีที่เรียนเก่าเขาให้ไปเก็บได้","อาจารย์ขออนุญาตสอบถามค่ะ ไม่ทราบว่านักศึกษามีประสงค์ที่จะย้ายไปเรียนในสาขาใดคะ"
"นิติศาสตร์ผมจบแล้ว","หากเป็นในหลักสูตรปริญญาตรีจะมี 3 สาขาดังนี้ค่ะ"
"อันนี้ไม่เปิดเหรอครับ","ดีเลยค่ะนักศึกษา อาจารย์เห็นว่าในสาขาที่ปัจจุบันนักศึกษาทำการสมัครเข้า สามารถนำไปต่อยอดได้ในหลายๆด้าน และสามารถนำไปปรับใช้ได้จริงค่ะ"
"ผมไม่สามารถย้ายคณะได้แล้วใช่มั้ยครับ","สวัสดีค่ะ"
"วทบ มีมั้ยครับ","เบื้องต้นทางมหาวิทยาลัยจะยังไม่มีหลักสูตรดังกล่าวนะคะนักศึกษา"
"ขอบพระคุณครับอาจารย์","สวัสดีค่ะ"
"ทีแรกจะเปลี่ยนสาขาเป็น วทบ ครับเห็นว่าไม่เปิดก็เลยจำเป็นต้องลาออกครับ","รับทราบค่ะนักศึกษา อาจารย์ทำการส่งแบบฟอร์มคำร้องให้นะคะ"
"ขอบคุณครับอาจารย์","ยินดีค่ะนักศึกษา"
"มีทางเพจ ม พิษณุโลก เขาบอกว่าเปิดรับ วทบ นะครับ","ในวันทำการอาจารย์สอบถามกับทางอาจารย์ฝ่ายหลักสูตรให้นะคะนักศึกษา หากได้ข้อมูลอย่างไรอาจารย์จะรีบแจ้งให้นักศึกษาทราบนะคะ"
"ขอบพระคุณมากๆครับ","ยินดีค่ะนักศึกษา"
"อย่าลืมผมนะ","สวัสดีค่ะ"
"รบกวนอาจารย์ด้วยนะครับ","รับทราบค่ะนักศึกษา เบื้องต้นอาจารย์ กำลังรอทางอาจารย์ประจำหลักสูตรแจ้งเกี่ยวกับรายละเอียดหลักสูตรกลับมาอีกครั้งนะคะ ในวันทำการอาจารย์จะเร่งตามให้นะคะนักศึกษา หากได้ข้อมูลอย่างไรอาจารย์จะรีบแจ้งให้นักศึกษาทราบนะคะ ขออภัยในความล่าช้าด้วยนะคะนักศึกษา"
"ไม่ได้ไม่เป็นไรนะครับ","ขออภัยในความล่าช้าด้วยนะคะนักศึกษา เบื้องต้นอาจารย์ทางอาจารย์ประจำหลักสูตรแจ้งว่าหากเป็น สาขา  เทคโนโลยีสารสนเทศและธุรกิจดิจิทัล ตอนนี้กำลังอยู่ระหว่างการดำเนินการของฝ่ายหลักสูตรอยู่นะคะ หากมีอัปเดตอาจารย์ให้ทราบทันทีค่ะ"
"ขอบคุณครับ","ยินดีค่ะนักศึกษา"
"เทอมนี้ทันมั้ยครับ","สวัสดีค่ะ"
"ทำไมอาจารย์แนะแนวท่านอื่นว่าเปิดครับ","ทางฝ่ายหลักสูตรแจ้งว่าใน สาขา เทคโนโลยีสารสนเทศและธุรกิจดิจิทัล ตอนนี้กำลังทำการปรับปรุงหลักสูตรอยู่นะคะนักศึกษา และตอนนี้ทางฝ่ายหลักสูตรกำลังเร่งดำเนินการในการปรับปรุงหลักสูตรให้เร็วที่สุดค่ะนักศึกษา"
"ผมจะได้เรียนเทอมนี้มั้ยครับ","ทางอาจารย์ประจำหลักสูตรจะแจ้งข้อมูลให้ทราบในวันทำการอีกครั้งนะคะ เนื่องจากวันนี้เป็นวันหยุดทำการจึงอาจจะทำให้การให้ข้อมูลกับนักศึกษาล่าช้าได้ค่ะ และหากได้ข้อมูลอย่างไรอาจารย์จะรีบแจ้งให้นักศึกษาทราบทันทีนะคะ"
"อาจารย์ให้ผมลาออกก่อนดีมั้ยครับ","สวัสดีค่ะ เบื้องต้นทางฝ่ายหลักสูตรกำลังเร่งดำเนินการปรับปรุงหลักสูตรในส่วนของ สาขา เทคโนโลยีสารสนเทศและธุรกิจดิจิทัล ให้เสร็จสมบูรณ์โดยเร็วที่สุดนะคะนักศึกษา อาจารย์จะคอยตามในส่วนของการดำเนินการและหากการปรับปรุงหลักสูตรเสร็จเรียบร้อยแล้ว อาจารย์จะรีบแจ้งให้นักศึกษาทราบทันทีค่ะ ขออภัยในความล่าช้าด้วยนะคะนักศึกษา"
"ขอบคุณครับอาจารย์","ยินดีค่ะนักศึกษา"
"คอมพิวเตอร์ธุรกิจ ไม่ทราบว่า กพ รับรองมั้ยครับ","สวัสดีค่ะ"
"ผมเปลี่ยนมาเรียนสาขานี้ได้มั่ยครับ","รูปแบบการเรียนจะเป็นการเรียนออนไลน์และสอบออนไลน์เป็นหลักค่ะนักศึกษา"
"ใช่ครับ","เบื้องต้นอาจารย์สอบถามฝ่ายหลักสูตรให้นะคะนักศึกษา ว่าโควต้าที่นั่งของ สาขา คอมพิวเตอร์ธุรกิจ เต็มเรียบร้อยแล้วหรือไม่ค่ะ หากโควต้ายังไม่เต็มอาจารย์ทำการแจ้งฝ่ายหลักสูตรในการขอย้ายสาขาให้นะคะนักศึกษา และหากได้ข้อมูลอย่างไรอาจารย์จะรีบแจ้งให้นักศึกษาทราบทันทีนะคะ"
"ได้ กพ มั้ยครับ","สวัสดีค่ะ"
"สาขานี้ก็ได้ครับ","นักศึกษาประสงค์ที่จะย้ายไปเรียนใน  สาขา เทคโนโลยีสารสนเทศและธุรกิจดิจิทัล ใช่หรือไม่คะ"
"สาขานี้ก็ได้ครับ","รับทราบค่ะนักศึกษา เบื่้องต้นอาจารย์ทำการแจ้งกับฝ่ายหลักสูตรให้เรียบร้อยแล้วนะคะ ตอนนี้กำลังรอทางฝ่ายหลักสูตรแจ้งกลับมาอีกครั้งค่ะ ว่านักศึกษาสามารถทำการย้ายไปศึกษาต่อใน สาขา เทคโนโลยีสารสนเทศ ได้หรือไม่ค่ะ หากทางฝ่ายหลักสูตรแจ้งกลับมาเรียบร้อยแล้วอาจารย์จะรีบแจ้งให้กับนักศึกษาทราบนะคะ"
"เขาว่างจันทร์ถึงศุกร์","สวัสดีค่ะ"
"ครับอาจารย์","จะมีเป็นภาคปกติ 4 ปีค่ะนักศึกษา แต่จะไม่ใช่รูปแบบการเรียนออนไลน์เป็นหลักนะคะนักศึกษา จะเป็นการเรียนออนไซต์ที่มหาวิทยาลัยค่ะ"
"ออนไลน์ดูย้อนหลังได้ก็เรียนได้ครับ","หากเป็นการเรียนออนไลน์เป็นหลักจะเป็นการเรียนในวันเสาร์-อาทิตย์นะคะนักศึกษา"
"สวัสดีครับอาจารย์  ส่วนของผมย้ายคณะได้เลยครับ","สวัสดีค่ะ"
"ครับอาจารย์","รับทราบค่ะนักศึกษา อาจารย์ดำเนินการแจ้งกับฝ่ายหลักสูตรให้นะคะ"
"ขอบพระคุณครับอาจารย์","ยินดีค่ะนักศึกษา"
"กลุ่มไหนครับ","สวัสดีค่ะ กลุ่มนี้ค่ะนักศึกษา"
"ผมอยู่ในสาขาอะไรครับ","สาขา เทคโนโลยีสารสนเทศ ค่ะนักศึกษา"
"ได้เรียนในสาขาที่อยากเรียน","ยินดีค่ะนักศึกษา"
"สวัสดีครับอาจารย์รหัสนักศึกษา ดูได้ตรงไหนครับ","ในส่วนนี้จะเป็นรหัสนักศึกษานะคะ"
"ขอบพระคุณครับอาจารย์","ยินดีค่ะนักศึกษา"
"ป.โท รัฐศาสตร์การปกครองท้องถิ่น  ค่าใช้จ่าย ตลอดหลักสูตร  ครับ","สวัสดีค่ะ"
"เรียน ออนไลน์ นะครับ","อาจารย์ขออนุญาตสอบถามนะคะ ไม่ทราบว่านักศึกษาปัจจุบันประกอบอาชีพใดและมีประสบการณ์ทำงานประมาณกี่ปีคะ"
"สนใจครับ","สวัสดีค่ะ"
"รับราชการ","ไม่ทราบว่านักศึกษามีประสบการณ์ทำงานประมาณกี่ปีคะ"
"24 ปี","นักศึกษาสามารถนำวุฒิและประสบการณ์ทำงานมาลดระยะเวลาในการเรียนได้นะคะ ซึ่งจะเรียนประมาณ 2 ปีค่ะ เนื่องจากตอนนี้ทางมหาวิทยาลัยมีในส่วนของทุนส่วนลดค่าเทอมให้กับนักศึกษาในวัยทำงานอยู่นะคะ จากปกติค่าเทอมตลอดหลักสูตร 130,000 บาท เหลือเพียง 90,000 บาทตลอดหลักสูตร สามารถผ่อนชำระได้นะคะ"
"สนใจครับ","สวัสดีค่ะ"
"กพ.รับรองไมครับ","สวัสดีค่ะ"
"นิติศาสตร์","อาจารย์ขออนุญาตสอบถามนะคะ ไม่ทราบว่านักศึกษาจบวุฒิใดมาและปัจจุบันประกอบอาชีพใดคะ"
"ค่าใช้จ่ายตลอดหลักสูตรเท่าไรครับ","สวัสดีค่ะ"
"สนใจครับ","สวัสดีค่ะ"
"สนใจครับ","สวัสดีค่ะ"
"สนใจครับ","สวัสดีค่ะ"
"มีส่วนลดข้าราชการมั้ยครับ","สวัสดีค่ะ"
"จบป.ตรี รปศ. ปัจจุบันรับราชการครับ","ไม่ทราบว่านักศึกษามีประสบการณ์ทำงานประมาณกี่ปีคะ"
"11 เดือนครับ","นักศึกษาสามารถนำวุฒิและประสบการณ์ทำงานมาลดระยะเวลาในการเรียนได้นะคะ ซึ่งจะเรียนประมาณ 2 ปีค่ะ เนื่องจากตอนนี้ทางมหาวิทยาลัยมีในส่วนของทุนส่วนลดค่าเทอมให้กับนักศึกษาในวัยทำงานอยู่นะคะ จากปกติค่าเทอมตลอดหลักสูตร 130,000 บาท เหลือเพียง 90,000 บาทตลอดหลักสูตร สามารถผ่อนชำระได้นะคะ"
"สนใจครับ","สวัสดีค่ะ"
"หลักสูตร","ไม่ทราบว่านักศึกษาจบวุฒิใดมาและมีประสบการณ์ทำงานประมาณกี่ปีคะ"
"ถ้าจำไม่ผิดจบ","นักศึกษาสามารถนำวุฒิและประสบการณ์ทำงานมาลดระยะเวลาในการเรียนได้นะคะ ซึ่งจะเรียนประมาณ 2 ปีค่ะ เนื่องจากตอนนี้ทางมหาวิทยาลัยมีในส่วนของทุนส่วนลดค่าเทอมให้กับนักศึกษาในวัยทำงานอยู่นะคะ จากปกติค่าเทอมตลอดหลักสูตร 130,000 บาท เหลือเพียง 90,000 บาทตลอดหลักสูตร สามารถผ่อนชำระได้นะคะ"
"ขอปรึกษากับทางบ้านก่อนนะคับอาจารย์","รับทราบค่ะนักสึกษา หากนักศึกษาสะดวกสมัครช่วงใดสามารถแจ้งอาจารย์ได้เลยนะคะ อาจารย์จะทำการส่งฟอร์มสมัครให้ค่ะ"
"ขอบคุณครับ","ยินดีค่ะนักศึกษา"
"สนใจสมัครเรียน","สวัสดีค่ะ"
"สนใจครับ","Kriengkrai Chaiyakun ตอบกลับโฆษณา"
"ผมเป็นครู","อาจารย์ส่งรายละเอียดให้นะคะ"
"ผมจะสมัครตอนนี้ได้ไหมครับ","สามารถสมัครได้เลยค่ะนักศึกษา อาจารย์ส่งฟอร์มสมัครให้นะคะ"
"เชื่อมต่อบัญชีธนาคารของคุณเพื่อตรวจสอบความถูกต้องของสลิป","รับทราบค่ะนักศึกษา อาจารย์ตรวจสอบเอกสารให้นะคะ"
"ครับ","หากมีส่วนใดเพิ่มเติมอาจารย์จะแจ้งให้ทราบนะคะ"
"ดึงเข้ากลุ่มไลน์ยังครับ","เดี๋ยวอาจารย์ตรวจสอบเอกสารให้ก่อนนะคะ และในเรื่องของไลน์กลุ่มทางอาจารย์จะประสานงานกับทางฝ่ายทะเบียนและจะแจ้งให้ทราบอีกครั้งนะคะ"
"ครับ","อาจารย์ได้มีการตรวจสอบเอกสารให้เรียบร้อยแล้วนะคะ เบื้องต้นนักศึกษาจะขาดเอกสาร ใบประกอบวิชาชีพครูค่ะ อาจารย์รบกวนนักศึกษาไฟล์สแกนที่เป็น PDF ที่ชัดเจนทุกตัวอักษร ชัดเจน ไม่เบลอ ไม่จาง ให้อาจารย์ได้หรือไม่คะ เนื่องจากอาจารย์จะทำการส่งเอกสารให้กับทางฝ่ายยทะเบียนค่ะ"
"ให้ผมส่งทางช่องทางไลน์เหรอครับ","นักศึกษาสามารถส่งทางช่องแชทนี้ได้เลยนะคะ"
"รับรองสำเนาไหมครับ","นักศึกษาสามารถเซ็นรับรองสำเนามาด้วยได้ค่ะ"
"ครับ","สวัสดีค่ะ"
"เพราะผมส่งเอกสารไปให้ทางไปรษณีย์กับอาจารย์ครับ","เป็นรองอธิการของมหาวิทยาลัยค่ะนักศึกษา"
"อย่างละ 2 ชุด","รับทราบค่ะ อาจารย์รบกวนขอไฟล์บัตรประชาชนอีกครั้งนะคะ เนื่องจากที่แนบมาไม่ชัดเจนค่ะ รบกวนด้วยนะคะนักศึกษา ขอบคุณมากค่ะ"
"ครับ","หากนักศึกษาสะดวกสามารถส่งให้อาจารย์ได้เลยนะคะ หรือหากนักศึกษายังไม่สะดวกสแกนไฟล์ส่งให้อาจารย์นักศึกษาสามารถถ่ายรูปหน้าบัตรประชาชนมาให้อาจารย์ได้นะคะ"
"ส่งแล้วนะครับ","ขอบคุณค่ะนักศึกษา อาจารย์ดำเนินการให้นะคะ"
"รบกวนด้วยนะครับ","รับทราบค่ะนักศึกษา"
"ส่วนมากจะเริ่มเรียนตอนไหนครับ","นักศึกษาจะเริ่มเรียนในช่วงเดือนมิถุนายน 2569 นะคะ"
"ครับผม","สวัสดีค่ะ 🙏 อาจารย์ขออนุญาตสอบถามการชำระค่าเทอม งวดที่ 1 จำนวน 7,500 บาทค่ะ ไม่ทราบว่านักศึกษาสะดวกชำค่าเทอมในช่วงใดคะ 💰 นักศึกษาสามารถชำระเงินได้ โดยโอนเข้าบัญชีของมหาวิทยาลัยโดยตรง 🏦 ธนาคารกรุงไทย (Krungthai Bank) 👤 ชื่อบัญชี: มหาวิทยาลัยพิษณุโลก 📌 เลขที่บัญชี: 678-9-63851-2 เมื่อชำระเรียบร้อยแล้ว รบกวนนักศึกษาแจ้ง ชื่อ–สกุล พร้อมแนบสลิปการโอน เพื่อยืนยันการชำระเงินกับอาจารย์ด้วยนะคะ 📄📸 ขอบพระคุณค่ะ 🌷"
"จ่ายค่าเทอมแล้วเริ่มเรียนตอนไหนครับ","นักศึกษาจะเริ่มเรียนในช่วงเดือนมิถุนายน 2569 นะคะ"
"ผมนี้รหัส 68 หรือ 69 ครับ","สวัสดีค่ะ"
"ผมต้องจ่ายเงินค่าเทอมงวดแรกก่อนใช่ไหมครับ","นักศึกษาสามารถเข้ากลุ่มไลน์ได้เลยนะคะ"
"ชำระได้เลยใช่ไหมครับ","สามารถชำระได้เลยค่ะนักศึกษา"
"พรุ่งนี้ผมโอนให้นะครับ","รับทราบค่ะนักศึกษา"
"ตอนนี้มีรหัสนักศึกษา 69 กี่คนครับ","ประมาณ 20 คนค่ะนักศึกษา"
"โอนแล้วนะครับ","รับทราบค่ะนักศึกษา อาจารย์ดำเนินการให้นะคะ"
